geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/09/20 - 03/15/20,236,6496,1
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/09/20 - 03/15/20,2171,36579,1
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/09/20 - 03/15/20,1155,13973,1
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/09/20 - 03/15/20,4477,94751,1
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/09/20 - 03/15/20,1487,25396,1
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/09/20 - 03/15/20,1826,34842,1
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/09/20 - 03/15/20,2306,38333,1
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/09/20 - 03/15/20,13519,274871,1
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/09/20 - 03/15/20,16762,215965,1
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/09/20 - 03/15/20,8905,115135,1
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/09/20 - 03/15/20,484,9730,1
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/09/20 - 03/15/20,165,2867,1
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/09/20 - 03/15/20,3443,51869,1
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/09/20 - 03/15/20,2113,30373,1
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/09/20 - 03/15/20,1122,14099,1
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/09/20 - 03/15/20,1229,13995,1
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/09/20 - 03/15/20,3858,57223,1
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/09/20 - 03/15/20,1260,16748,1
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/09/20 - 03/15/20,587,13363,1
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/09/20 - 03/15/20,63381,1121156,1
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/09/20 - 03/15/20,2306,45711,1
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/09/20 - 03/15/20,2274,37107,1
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/09/20 - 03/15/20,1185,18471,1
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/09/20 - 03/15/20,2763,34172,1
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/09/20 - 03/15/20,1689,22257,1
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/09/20 - 03/15/20,96,2014,1
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/09/20 - 03/15/20,757,9639,1
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/09/20 - 03/15/20,527,8855,1
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/09/20 - 03/15/20,675,12066,1
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/09/20 - 03/15/20,6437,104539,1
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/09/20 - 03/15/20,293,5808,1
36,51,-75.59654322,42.92123355,-78.66634949,37.5108731,03/09/20 - 03/15/20,8747,161125,1
37,51,-79.13090892,35.52603039,-78.66634949,37.5108731,03/09/20 - 03/15/20,56000,817268,1
38,51,-100.4693908,47.44631042,-78.66634949,37.5108731,03/09/20 - 03/15/20,289,4273,1
39,51,-82.70937701,40.41548691,-78.66634949,37.5108731,03/09/20 - 03/15/20,6569,96275,1
40,51,-97.50822793,35.58346465,-78.66634949,37.5108731,03/09/20 - 03/15/20,1218,14589,1
41,51,-120.6052563,43.94045139,-78.66634949,37.5108731,03/09/20 - 03/15/20,403,7944,1
42,51,-77.83893801,40.89670051,-78.66634949,37.5108731,03/09/20 - 03/15/20,16541,290793,1
44,51,-71.52472356,41.5946389,-78.66634949,37.5108731,03/09/20 - 03/15/20,499,9525,1
45,51,-80.86459716,33.87785607,-78.66634949,37.5108731,03/09/20 - 03/15/20,6721,88654,1
46,51,-100.2033536,44.44664208,-78.66634949,37.5108731,03/09/20 - 03/15/20,191,3080,1
47,51,-86.34341233,35.84298014,-78.66634949,37.5108731,03/09/20 - 03/15/20,17066,225892,1
48,51,-99.31712097,31.44721219,-78.66634949,37.5108731,03/09/20 - 03/15/20,14026,180480,1
49,51,-111.67825,39.32376871,-78.66634949,37.5108731,03/09/20 - 03/15/20,449,7733,1
50,51,-72.66263037,44.07524823,-78.66634949,37.5108731,03/09/20 - 03/15/20,419,10400,1
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/09/20 - 03/15/20,3205128,54482298,1
53,51,-120.5928999,47.41163922,-78.66634949,37.5108731,03/09/20 - 03/15/20,797,15700,1
54,51,-80.6137069,38.6425671,-78.66634949,37.5108731,03/09/20 - 03/15/20,26556,459571,1
55,51,-89.73293306,44.63994411,-78.66634949,37.5108731,03/09/20 - 03/15/20,1440,24144,1
56,51,-107.5513942,42.99953746,-78.66634949,37.5108731,03/09/20 - 03/15/20,101,1924,1
72,51,-66.41466678,18.21569834,-78.66634949,37.5108731,03/09/20 - 03/15/20,252,6047,1
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/16/20 - 03/22/20,1187,24528,1
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/16/20 - 03/22/20,49,1012,1
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/16/20 - 03/22/20,1128,23309,1
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/16/20 - 03/22/20,572,11819,1
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/16/20 - 03/22/20,1986,41038,1
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/16/20 - 03/22/20,793,16386,1
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/16/20 - 03/22/20,524,10827,1
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/16/20 - 03/22/20,1239,25602,1
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/16/20 - 03/22/20,17828,368399,1
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/16/20 - 03/22/20,11673,241212,1
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/16/20 - 03/22/20,4570,94435,1
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/16/20 - 03/22/20,647,13369,1
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/16/20 - 03/22/20,96,1983,1
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/16/20 - 03/22/20,1541,31843,1
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/16/20 - 03/22/20,1052,21738,1
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/16/20 - 03/22/20,305,6302,1
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/16/20 - 03/22/20,223,4608,1
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/16/20 - 03/22/20,2210,45667,1
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/16/20 - 03/22/20,624,12894,1
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/16/20 - 03/22/20,140,2892,1
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/16/20 - 03/22/20,20793,429668,1
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/16/20 - 03/22/20,847,17502,1
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/16/20 - 03/22/20,787,16262,1
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/16/20 - 03/22/20,403,8327,1
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/16/20 - 03/22/20,533,11013,1
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/16/20 - 03/22/20,941,19444,1
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/16/20 - 03/22/20,113,2335,1
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/16/20 - 03/22/20,179,3698,1
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/16/20 - 03/22/20,613,12667,1
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/16/20 - 03/22/20,175,3616,1
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/16/20 - 03/22/20,2262,46742,1
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/16/20 - 03/22/20,469,9691,1
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/16/20 - 03/22/20,2893,59781,1
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/16/20 - 03/22/20,21949,453556,1
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/16/20 - 03/22/20,52,1074,1
